ID,Height,Weight
1,202.5961215,98.65862418
2,157.5654331,64.60279797
3,182.784305,92.70226478
4,189.7640941,85.67150278
5,193.5294133,92.05943211
6,171.0668628,79.52716107
7,198.3379828,94.42348203
8,206.0805442,83.71005516
9,189.10465,76.53851663
10,163.3292311,81.73772972
11,165.6740318,77.45797837
12,188.5159209,96.12704388
13,142.1659515,63.00657729
14,201.3983508,102.6169249
15,166.8987812,80.62237791
16,195.1145926,89.65208093
17,185.2540744,76.60131299
18,164.7524829,78.01165017
19,161.5007075,68.27879278
20,167.89474,81.80305896
21,186.2924783,80.46921552
22,183.102116,100.0714676
23,191.4401354,84.74631044
24,205.3650936,99.70270457
25,169.9546654,81.60848249
26,171.829602,84.87796579
27,161.4240457,70.61705563
28,137.5815316,72.60567059
29,168.9640521,71.7757235
30,217.9551444,112.0773633
31,174.6082717,72.90630862
32,180.5298844,80.83422981
33,178.8801547,94.30282667
34,211.9952621,99.05681513
35,196.1140971,88.24941258
36,198.9020038,97.39111485
37,182.7917466,82.16585497
38,197.508976,96.10990841
39,181.0821191,93.54940746
40,146.9796285,65.8557393
41,194.3950397,102.1976954
42,220.2646768,115.1145568
43,190.6099177,81.40833573
44,158.0380188,78.21150952
45,192.7087663,90.48855998
46,156.1826918,92.17555577
47,168.6610038,75.40580103
48,174.2047193,82.14046029
49,197.8743645,84.61340645
50,162.8437741,81.50445609
51,191.5678891,96.37874116
52,177.622096,84.63643837
53,171.3079836,75.38980755
54,182.9240353,102.7110103
55,196.9820031,100.9457207
56,206.0814577,96.84862463
57,178.0450388,85.73019966
58,178.8921241,83.78167813
59,178.5298061,82.3070247
60,200.5115206,82.27636124
61,184.6671937,96.28805651
62,165.9247154,80.2221401
63,212.8646668,96.29178302
64,199.2886602,89.95524453
65,223.4929801,108.4752433
66,192.0250626,85.63982955
67,194.1705965,89.20632882
68,163.4045064,66.39877585
69,188.7785031,74.05973256
70,178.1293393,62.96803238
71,152.7305115,81.16314113
72,185.3972723,90.56890319
73,219.1329662,110.019746
74,189.2471754,80.70435744
75,158.440569,67.95102465
76,184.6115778,99.23253759
77,150.1674787,71.91922247
78,176.5412915,87.77761815
79,171.9861015,89.5463247
80,194.3961238,101.61333
81,169.3729541,86.01445136
82,174.6922324,85.97174508
83,167.9498869,90.54280257
84,144.4820584,62.49199985
85,172.5521303,82.073076
86,169.3317679,88.15918488
87,169.0503788,87.64841044
88,180.9254921,70.25774168
89,167.1370736,80.61265294
90,220.6681116,108.9057171
91,198.310224,79.84602918
92,203.6373732,93.25022426
93,196.5158788,102.9687372
94,210.7669029,85.61072946
95,205.3470779,85.36285636
96,191.7240115,81.19052095
97,169.3358642,69.73160127
98,172.6376617,86.99733499
99,162.7949584,76.57731545
100,193.2351961,96.66885443
101,193.1456884,91.42491585
102,232.5531886,105.2928584
103,189.2383116,99.97580124
104,178.8156196,91.37743477
105,164.2036321,83.98913376
106,165.5467882,85.44284375
107,189.8522476,81.60951738
108,191.1027379,91.37390291
109,162.1109751,82.03249764
110,192.9608986,83.08281315
111,184.4567,94.86989534
112,187.0552139,82.35807271
